#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A37492
#Date Time: 2023-06-27 08:42:32.768
#Sample rate: 80Hz
#Samples: 4991
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V)
8.15,2.934252773488288
8.1625,2.879337163032165
8.175000000000001,2.820760511878966
8.1875,2.762183860725768
8.199999999999999,2.710929290966719
8.2125,2.663335761904746
8.225,2.615742232842772
8.237500000000001,2.568148703780798
8.25,2.513233093324675
8.262499999999999,2.450995401474402
8.275,2.381435628229979
8.2875,2.308214814288481
8.300000000000001,2.224010878255758
8.3125,2.128823820131811
8.324999999999999,2.029975721310789
8.3375,1.927466581792692
8.35,1.82129640157752
8.362500000000001,1.715126221362348
8.375,1.608956041147176
8.387499999999999,1.510107942326154
8.4,1.418581924899281
8.4125,1.334377988866559
8.425000000000001,1.261157174925061
8.4375,1.198919483074788
8.449999999999999,1.144003872618664
8.4625,1.100071384253765
8.475,1.067122017980092
8.487500000000001,1.037833692403492
8.5,1.023189529615193
8.512499999999999,1.015867448221043
8.525,1.008545366826893
8.5375,1.001223285432743
8.550000000000001,0.9939012040385936
8.5625,0.9939012040385936
8.574999999999999,0.9902401633415188
8.5875,0.9902401633415188
8.6,0.9939012040385936
8.612500000000001,0.9902401633415188
8.625,0.9865791226444438
8.637499999999999,0.9865791226444438
8.65,0.9939012040385936
8.6625,1.015867448221043
8.675000000000001,1.067122017980092
8.6875,1.173292198195264
8.699999999999999,1.345361110957783
8.7125,1.576006674873502
8.725,1.857906808548269
8.737500000000001,2.16543422710256
8.75,2.480283727051001
8.762499999999999,2.776828023514068
8.775,3.036761913006385
8.7875,3.252763314133804
8.800000000000001,3.417510145502174
8.8125,3.531002407111496
8.824999999999999,3.512697203626121
8.8375,3.432154308290474
8.85,3.351611412954826
8.862500000000001,3.278390599013328
8.875,3.21249186646598
8.887499999999999,3.146593133918632
8.9,3.084355442068359
8.9125,3.029439831612236
8.925000000000001,2.974524221156112
8.9375,2.915947570002913
8.949999999999999,2.842726756061416
8.9625,2.765844901422843
8.975,2.68164096539012
8.987500000000001,2.604759110751548
9,2.53153829681005
9.012499999999999,2.461978523565627
9.025,2.392418750321204
9.0375,2.315536895682631
9.050000000000001,2.234994000346983
9.0625,2.139806942223036
9.074999999999999,2.029975721310789
9.0875,1.909161378307317
9.1,1.781024953909696
9.112500000000001,1.64190540742085
9.125,1.495463779537854
9.137499999999999,1.349022151654858
